accession	accession.version	taxid	gi
CP023965	CP023965.1	585	1
NZ_NBUT01000031	NZ_NBUT01000031.1	585	2
NR_136469	NR_136469.1	1137280	0
NR_136468	NR_136468.1	1206816	0
NR_136467	NR_136467.1	1206753	0
NR_147730	NR_147730.1	1671555	0
NR_136458	NR_136458.1	1569629	0
NR_136457	NR_136457.1	1321368	0
NR_147743	NR_147743.1	1435465	0
NR_136451	NR_136451.1	1480694	0
NR_136450	NR_136450.1	1395957	0
NR_136448	NR_136448.1	1536901	0
NR_136445	NR_136445.1	1825787	0
NR_114263	NR_114263.1	490188	0
NR_116271	NR_116271.1	490188	0
NR_136442	NR_136442.1	1537390	0
NR_114831	NR_114831.1	1936	0
NR_041115	NR_041115.1	1936	0
NR_114934	NR_114934.1	1936	0
NR_136439	NR_136439.1	1389218	0
NR_136438	NR_136438.1	1389223	0
NR_133749	NR_133749.1	1114873	0
NR_158075	NR_158075.1	1634995	0
NR_136436	NR_136436.1	1505723	0
NR_136434	NR_136434.1	1517416	0
NR_044139	NR_044139.1	67332	0
NR_112281	NR_112281.1	67332	0
NR_042285	NR_042285.1	283737	0
NR_136430	NR_136430.1	1505037	0
NR_102463	NR_102463.1	118323	0
NR_112111	NR_112111.1	118323	0
NR_136426	NR_136426.1	1382803	0
NR_026259	NR_026259.1	46469	0
NR_136423	NR_136423.1	1526658	0
NR_135903	NR_135903.1	1347903	0
NR_135902	NR_135902.1	1463159	0
NR_135901	NR_135901.1	1470176	0
NR_135891	NR_135891.1	1461322	0
NR_135890	NR_135890.1	1470433	0
NR_135889	NR_135889.1	1581411	0
NR_117419	NR_117419.1	683153	0
NR_026236	NR_026236.1	1671	0
NR_135885	NR_135885.1	1243002	0
NR_108902	NR_108902.1	752139	0
NR_135882	NR_135882.1	1621988	0
NR_135881	NR_135881.1	707589	0
NR_036880	NR_036880.1	1405	0
NR_024697	NR_024697.1	1405	0
NR_113990	NR_113990.1	1405	0
NR_113996	NR_113996.1	1405	0
NR_115993	NR_115993.1	1405	0
NR_135878	NR_135878.1	1534803	0
NR_135877	NR_135877.1	1437360	0
NR_135873	NR_135873.1	1335048	0
NR_135870	NR_135870.1	1383844	0
NR_041886	NR_041886.1	195105	0
NR_115743	NR_115743.1	195105	0
NR_135867	NR_135867.1	1547895	0
NR_135866	NR_135866.1	1610748	0
NR_135859	NR_135859.2	1496996	0
NR_135858	NR_135858.1	1777867	0
